"Date","Open","High","Low","Close","Jaw ‌Alligator‌ (y,13,21,8,13,5,8,n)","Teeth ‌Alligator‌ (y,13,21,8,13,5,8,n)","Lips ‌Alligator‌ (y,13,21,8,13,5,8,n)","MA ‌ma‌ (5,ma,0)","MA ‌ma‌ (15,ma,0)"
"Fri Dec 16 2022 15:20:00 GMT+0530 (India Standard Time)","18274.45","18278.30","18260.45","18261.60","18366.17","18344.79","18306.28","18266.28","18283.62"
"Fri Dec 16 2022 15:25:00 GMT+0530 (India Standard Time)","18261.45","18277.15","18255.70","18270.10","18365.28","18339.02","18304.47","18265.71","18279.74"
"Mon Dec 19 2022 09:15:00 GMT+0530 (India Standard Time)","18288.10","18306.25","18244.65","18268.30","18363.28","18332.82","18299.49","18266.86","18276.76"
"Mon Dec 19 2022 09:20:00 GMT+0530 (India Standard Time)","18270.70","18284.50","18259.30","18281.05","18360.74","18327.63","18295.17","18271.00","18276.58"
"Mon Dec 19 2022 09:25:00 GMT+0530 (India Standard Time)","18281.60","18291.80","18266.05","18280.05","18357.66","18322.92","18294.56","18272.22","18275.94"
"Mon Dec 19 2022 09:30:00 GMT+0530 (India Standard Time)","18279.45","18302.80","18266.85","18302.50","18354.57","18318.79","18288.80","18280.40","18277.05"
"Mon Dec 19 2022 09:35:00 GMT+0530 (India Standard Time)","18301.95","18313.05","18297.75","18305.15","18352.73","18316.09","18283.71","18287.41","18278.15"
"Mon Dec 19 2022 09:40:00 GMT+0530 (India Standard Time)","18303.90","18312.30","18295.10","18298.65","18351.92","18311.53","18280.10","18293.48","18278.33"
"Mon Dec 19 2022 09:45:00 GMT+0530 (India Standard Time)","18298.90","18321.85","18295.15","18295.40","18349.50","18307.32","18277.95","18296.35","18278.68"
"Mon Dec 19 2022 09:50:00 GMT+0530 (India Standard Time)","18294.10","18305.25","18281.50","18297.15","18345.59","18305.43","18275.65","18299.77","18280.37"
"Mon Dec 19 2022 09:55:00 GMT+0530 (India Standard Time)","18297.95","18318.10","18297.90","18312.80","18341.27","18300.47","18275.61","18301.83","18282.84"
"Mon Dec 19 2022 10:00:00 GMT+0530 (India Standard Time)","18313.00","18339.80","18313.00","18337.45","18337.43","18295.82","18274.87","18308.29","18287.14"
"Mon Dec 19 2022 10:05:00 GMT+0530 (India Standard Time)","18337.60","18346.40","18332.55","18334.05","18333.77","18292.06","18275.68","18315.37","18291.90"
"Mon Dec 19 2022 10:10:00 GMT+0530 (India Standard Time)","18333.55","18341.35","18326.50","18333.55","18330.40","18289.22","18277.51","18323.00","18296.78"
